trans_id,library_id,item_id,user_id,trans_date,due_date,fee,renew_date,renew_count,trans_type
1,1,1,5,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
2,1,2,5,2020-11-17T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],3,2020-12-01T08:04:00-05:00[America/New_York],1,Renew
3,1,3,5,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
4,1,4,5,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
5,1,5,6,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
6,1,6,6,2020-11-03T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],6,2020-12-01T08:04:00-05:00[America/New_York],2,Renew
7,1,7,6,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
8,1,8,6,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
9,1,9,7,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
10,1,10,7,2020-10-20T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],9,2020-12-01T08:04:00-05:00[America/New_York],3,Renew
11,1,11,7,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
12,1,12,7,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
13,1,13,8,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
14,1,14,8,2020-11-17T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],3,2020-12-01T08:04:00-05:00[America/New_York],1,Renew
15,1,15,8,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
16,1,16,8,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
17,1,17,9,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
18,1,18,9,2020-11-03T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],6,2020-12-01T08:04:00-05:00[America/New_York],2,Renew
19,1,19,9,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
20,1,20,9,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
21,1,21,10,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
22,1,22,10,2020-11-17T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],3,2020-12-01T08:04:00-05:00[America/New_York],1,Renew
23,1,23,10,2020-11-30T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-11-17T08:04:00-05:00[America/New_York],0,Return
24,1,24,10,2020-12-01T08:04:00-05:00[America/New_York],2020-12-01T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Reserve
25,1,25,10,2020-12-01T08:04:00-05:00[America/New_York],2020-12-15T08:04:00-05:00[America/New_York],0,2020-12-01T08:04:00-05:00[America/New_York],0,Check Out
